ICAO, Registration, Model, Aircraft Type
4403bd,OE-IIS,GLF5,L2J
c0478b,C-GBCK,DA40,L1P
c02fd5,C-FSCY,B38M,L2J
c04fe4,C-GEGP,A333,L2J
c01235,C-FGXG,BE9L,L2T
aa477b,N761YX,E75L,No
c055e9,C-GGNW,DH8D,L2T
c04eb6,C-GDUZ,B763,L2J
c08866,C-GZQZ,E295,No
3c4589,D-AALI,B77L,L2J
c066f0,C-GMZN,BCS3,L2J
c02966,C-FPRP,B738,L2J
c05054,C-GEKX,B38M,L2J
aa6b43,N770YX,E75L,No
c078ac,C-GTSD,A333,L2J
c05840,C-GHKX,A333,L2J
c01fbf,C-FMAO,PC12,L1T
c0635f,C-GLQK,DH8D,L2T
c02fb4,C-FSBR,E545,No
aafd1f,N807NW,A333,L2J
39d2a6,F-HUVG,A359,L2J
c02ee9,C-FRTW,B789,L2J
c03c0c,C-FWTF,E55P,L2J
3c64c6,D-AIFF,A343,L4J
4a91af,SE-DMO,A21N,L2J
c05430,C-GFWX,A320,L2J
c00e55,C-FFLC,B738,L2J
a6eed5,N546GJ,CRJ7,L2J
ace063,N929JB,A321,L2J
a768a2,N577CF,FA7X,L3J
c0885e,C-GZQR,E295,No
495303,CS-TXC,A21N,L2J
c05ed0,C-GJXN,BCS3,L2J
c055d6,C-GGND,DH8D,L2T
c02fb8,C-FSBV,B789,L2J
c060c6,C-GKQV,E295,No
4841ad,PH-BQN,B772,L2J
c06a82,C-GOIR,A21N,L2J
c0524c,C-GFEH,B738,L2J
c05e72,C-GJTX,A321,L2J
c06a80,C-GOIP,A21N,L2J
aa7ec2,N77558,B39M,L2J
4005c0,G-VIIH,B772,L2J
3c4ad7,D-ABVW,B744,L4J
abd6ed,N862GT,B748,L4J
c06800,C-GNJZ,CRJ9,L2J
c08862,C-GZQV,E295,No
c05ee5,C-GJYI,BCS3,L2J
c079a6,C-GUBT,A332,L2J
c07d1a,C-GVJT,C560,L2J
c03a1e,C-FWAF,PC12,L1T
3c656e,D-AIKN,A333,L2J
3c4a01,D-ABPA,B789,L2J
c0064c,C-FCJZ,CRJ9,L2J
a2ca5d,N27901,B788,L2J
c080dd,C-GWUU,B789,L2J
abb3be,N853NW,A332,L2J
a2f200,N28912,B788,L2J
c0583f,C-GHKW,A333,L2J
c04ff7,C-GEHI,B38M,L2J
c05efa,C-GJZD,DH8D,L2T
c038ca,C-FVND,B789,L2J
c0103e,C-FGDX,B789,L2J
c060bb,C-GKQK,E295,No
aafbdf,N807AA,B788,L2J
3c7a41,D-ANRA,A339,L2J
406b05,G-STBL,B77W,L2J
406f78,G-ZBKL,B789,L2J
a86ab5,N641UA,B763,L2J
4b1885,HB-JHL,A333,L2J
c04681,C-GASE,E545,No
c058c3,C-GHPY,B788,L2J
aa8315,N777AN,B772,L2J
c0171a,C-FITL,B77W,L2J
4d0102,LX-VCC,B748,L4J
abbe23,N856FD,B77L,L2J
4caa32,EI-EJM,A332,L2J
c05d9b,C-GJLQ,A320,L2J
c019eb,C-FJVE,B738,L2J
a9de77,N735JS,C25B,L2J
c01c48,C-FKSL,SF34,L2T
a6f643,N548GJ,CRJ7,L2J
4ba956,TC-JJV,B77W,L2J
3c64fa,D-AIGZ,A343,L4J
c00ec2,C-FFPH,B738,L2J
c05e96,C-GJVH,SW4,L2P
a6c358,N535DN,A21N,L2J
39ce24,F-HTRE,A359,L2J
c0550c,C-GGFJ,DH8D,L2T
4075b3,G-VLUX,A35K,L2J
c0583a,C-GHKR,A333,L2J
4079cd,G-VEVE,A35K,L2J
c03bfb,C-FWSO,B737,L2J
c06a76,C-GOIF,A21N,L2J
a50370,N422DZ,A339,L2J
c007ac,C-FCXN,C185,No
4b187b,HB-JHB,A333,L2J
39cf0d,F-HTYN,A359,L2J
3949f8,F-GSPY,B772,L2J
c060b7,C-GKQG,DH8D,L2T
c06e45,C-GPTS,A332,L2J
c03fa3,C-FYCO,R44,H1P
ae123a,04-4128,C17,L4J
89639d,A6-EOD,A388,L4J
8963e9,A6-EOL,A388,L4J
3c458c,D-AALL,B77L,L2J
aa92fc,N78005,B772,L2J
a50725,N423DX,A339,L2J
c05007,C-GEHY,B38M,L2J
896453,A6-EQD,B77W,L2J
c062f9,C-GLMM,CL35,L2J
c0168e,C-FIOB,SW4,L2P
aaf1fa,N804NW,A333,L2J
485b42,PH-BKA,B78X,L2J
c05e9b,C-GJVM,PC12,L1T
4bb184,TC-LLD,B789,L2J
3c7a45,D-ANRE,A339,L2J
4ca5c7,EI-DUZ,A333,L2J
a703c1,N551GJ,CRJ7,L2J
c053f6,C-GFUR,A333,L2J
4ba955,TC-JJU,B77W,L2J
c0817c,C-GXAX,B38M,L2J
c0101a,C-FGCN,B733,L2J
c05bcf,C-GITY,A321,L2J
406f77,G-ZBKK,B789,L2J
c05da4,C-GJLZ,B738,L2J
4074e2,G-ZBJJ,B788,L2J
c07aa3,C-GULM,PA31,L2P
c0013a,C-FAMB,CL60,L2J
c03d0c,C-FXDB,GLEX,L2J
c082a4,C-GXMH,C150,L1P
39c425,F-HRBF,B789,L2J
